freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.466e+02,7.893e+00,1.144e+01,7.660e+02
1.5,4.388e+02,2.817e+01,4.173e+01,5.087e+02
3.0,3.428e+01,3.218e+01,4.908e+01,1.155e+02
4.5,2.788e+02,3.324e+01,4.797e+01,3.600e+02
6.0,1.118e+03,3.733e+01,4.901e+01,1.205e+03
7.5,1.751e+03,3.479e+01,5.930e+01,1.845e+03
9.0,2.525e+03,3.253e+01,6.237e+01,2.620e+03
10.5,3.588e+03,3.812e+01,5.235e+01,3.678e+03
12.0,4.717e+03,3.795e+01,5.220e+01,4.807e+03
13.5,6.054e+03,4.172e+01,5.237e+01,6.148e+03
15.0,7.687e+03,3.904e+01,5.296e+01,7.779e+03
16.5,9.659e+03,3.912e+01,5.199e+01,9.750e+03
18.0,1.187e+04,4.539e+01,5.045e+01,1.197e+04
19.5,1.475e+04,5.103e+01,6.072e+01,1.486e+04
21.0,1.819e+04,5.938e+01,6.866e+01,1.832e+04
22.5,2.071e+04,7.032e+01,8.427e+01,2.086e+04
24.0,2.179e+04,6.261e+01,1.095e+02,2.196e+04
25.5,2.422e+04,5.526e+01,1.585e+02,2.443e+04
26.9,2.583e+04,6.864e+01,1.937e+02,2.609e+04
28.4,2.576e+04,6.955e+01,1.663e+02,2.599e+04
29.9,2.641e+04,7.329e+01,1.133e+02,2.660e+04
31.4,2.850e+04,6.536e+01,7.537e+01,2.864e+04
32.9,3.184e+04,5.544e+01,7.446e+01,3.196e+04
34.4,3.590e+04,5.684e+01,8.622e+01,3.604e+04
35.9,3.993e+04,8.397e+01,8.624e+01,4.010e+04
37.4,4.435e+04,9.560e+01,7.642e+01,4.452e+04
38.9,4.940e+04,1.136e+02,1.024e+02,4.962e+04
40.4,5.522e+04,2.042e+02,2.178e+02,5.565e+04
41.9,6.121e+04,3.237e+02,3.126e+02,6.185e+04
43.4,6.834e+04,4.173e+02,3.105e+02,6.907e+04
44.9,7.707e+04,5.265e+02,2.945e+02,7.789e+04
46.4,8.768e+04,7.709e+02,3.193e+02,8.877e+04
47.9,1.019e+05,1.320e+03,5.185e+02,1.038e+05
49.4,1.175e+05,2.123e+03,1.093e+03,1.207e+05
50.9,1.297e+05,2.821e+03,1.823e+03,1.343e+05
52.4,1.416e+05,2.879e+03,2.552e+03,1.470e+05
53.9,1.603e+05,2.315e+03,2.948e+03,1.656e+05
55.4,1.866e+05,1.923e+03,2.958e+03,1.915e+05
56.9,2.114e+05,1.758e+03,2.696e+03,2.158e+05
58.4,2.430e+05,1.602e+03,2.641e+03,2.472e+05
59.9,2.903e+05,1.421e+03,3.012e+03,2.947e+05
61.4,3.520e+05,1.336e+03,3.459e+03,3.568e+05
62.9,4.287e+05,1.468e+03,4.288e+03,4.344e+05
64.4,5.346e+05,1.900e+03,6.538e+03,5.431e+05
65.9,6.980e+05,3.603e+03,1.284e+04,7.145e+05
67.4,9.153e+05,7.467e+03,2.197e+04,9.448e+05
68.9,1.200e+06,9.224e+03,2.020e+04,1.230e+06
70.4,1.602e+06,7.079e+03,8.858e+03,1.618e+06
71.9,2.128e+06,4.448e+03,2.606e+03,2.135e+06
73.4,2.645e+06,3.534e+03,2.741e+03,2.652e+06
74.9,3.066e+06,3.245e+03,4.468e+03,3.074e+06
76.4,3.547e+06,3.137e+03,6.688e+03,3.557e+06
77.9,3.720e+06,3.012e+03,8.176e+03,3.731e+06
79.4,3.536e+06,2.951e+03,8.387e+03,3.547e+06
80.8,3.205e+06,2.781e+03,8.193e+03,3.216e+06
82.3,2.818e+06,2.466e+03,7.633e+03,2.829e+06
83.8,2.420e+06,2.143e+03,6.734e+03,2.429e+06
85.3,2.070e+06,1.970e+03,5.834e+03,2.078e+06
86.8,1.768e+06,1.939e+03,4.866e+03,1.775e+06
88.3,1.516e+06,1.873e+03,3.983e+03,1.522e+06
89.8,1.313e+06,1.754e+03,3.253e+03,1.318e+06
91.3,1.160e+06,1.597e+03,2.661e+03,1.164e+06
92.8,1.031e+06,1.449e+03,2.208e+03,1.034e+06
94.3,9.342e+05,1.511e+03,1.805e+03,9.375e+05
95.8,8.588e+05,1.882e+03,1.502e+03,8.622e+05
97.3,8.055e+05,2.489e+03,1.466e+03,8.095e+05
98.8,7.787e+05,3.173e+03,1.945e+03,7.839e+05
100.3,7.575e+05,3.416e+03,3.106e+03,7.640e+05
101.8,7.762e+05,3.032e+03,5.231e+03,7.844e+05
103.3,8.058e+05,2.194e+03,7.398e+03,8.154e+05
104.8,8.219e+05,1.464e+03,8.773e+03,8.322e+05
106.3,8.156e+05,9.145e+02,9.303e+03,8.258e+05
107.8,7.820e+05,6.232e+02,9.147e+03,7.918e+05
109.3,7.974e+05,5.696e+02,9.446e+03,8.074e+05
110.8,8.207e+05,6.714e+02,9.570e+03,8.310e+05
112.3,7.719e+05,1.060e+03,9.023e+03,7.820e+05
113.8,6.128e+05,1.438e+03,7.192e+03,6.214e+05
115.3,4.463e+05,1.446e+03,5.023e+03,4.528e+05
116.8,3.386e+05,1.225e+03,3.428e+03,3.432e+05
118.3,3.329e+05,7.111e+02,1.983e+03,3.356e+05
119.8,5.174e+05,9.835e+02,3.694e+03,5.221e+05
121.3,6.998e+05,2.303e+03,9.235e+03,7.114e+05
122.8,7.182e+05,2.967e+03,1.096e+04,7.321e+05
124.3,7.274e+05,2.989e+03,1.121e+04,7.416e+05
125.8,7.115e+05,2.982e+03,1.094e+04,7.255e+05
127.3,6.850e+05,3.009e+03,9.173e+03,6.972e+05
128.8,6.805e+05,3.057e+03,7.487e+03,6.910e+05
130.3,6.873e+05,3.390e+03,7.667e+03,6.984e+05
131.8,6.547e+05,3.906e+03,7.499e+03,6.661e+05
133.3,2.437e+05,1.830e+03,3.006e+03,2.485e+05
134.7,3.863e+04,6.638e+02,8.801e+02,4.018e+04
136.2,3.559e+04,6.050e+02,6.834e+02,3.688e+04
137.7,3.985e+04,6.810e+02,6.954e+02,4.123e+04
139.2,4.514e+04,7.237e+02,7.866e+02,4.665e+04
140.7,5.057e+04,7.891e+02,1.040e+03,5.240e+04
142.2,5.747e+04,9.287e+02,1.371e+03,5.977e+04
143.7,6.687e+04,1.120e+03,2.025e+03,7.002e+04
145.2,7.357e+04,1.265e+03,2.756e+03,7.759e+04
146.7,7.475e+04,1.303e+03,3.221e+03,7.927e+04
148.2,6.465e+04,1.231e+03,2.492e+03,6.837e+04
149.7,4.873e+04,1.384e+03,2.262e+03,5.238e+04
151.2,3.648e+04,1.710e+03,3.004e+03,4.119e+04
152.7,3.162e+04,2.051e+03,2.942e+03,3.661e+04
154.2,2.816e+04,2.112e+03,2.548e+03,3.282e+04
155.7,2.492e+04,2.215e+03,2.447e+03,2.958e+04
157.2,2.521e+04,2.408e+03,2.473e+03,3.009e+04
158.7,2.739e+04,2.489e+03,2.577e+03,3.246e+04
160.2,3.051e+04,2.348e+03,2.322e+03,3.518e+04
161.7,3.734e+04,2.255e+03,1.948e+03,4.154e+04
163.2,4.149e+04,2.161e+03,1.709e+03,4.536e+04
164.7,4.637e+04,2.203e+03,1.776e+03,5.035e+04
166.2,4.988e+04,2.306e+03,1.718e+03,5.390e+04
167.7,5.074e+04,2.500e+03,1.711e+03,5.495e+04
169.2,4.871e+04,2.407e+03,1.654e+03,5.278e+04
170.7,4.544e+04,2.217e+03,1.673e+03,4.933e+04
172.2,4.061e+04,1.963e+03,1.582e+03,4.416e+04
173.7,3.765e+04,1.814e+03,1.560e+03,4.103e+04
175.2,3.165e+04,1.541e+03,1.494e+03,3.468e+04
176.7,2.805e+04,1.341e+03,1.360e+03,3.075e+04
178.2,2.500e+04,1.248e+03,1.294e+03,2.754e+04
179.7,2.082e+04,1.535e+03,1.363e+03,2.372e+04
181.2,1.835e+04,2.207e+03,1.313e+03,2.187e+04
182.7,1.474e+04,2.554e+03,1.195e+03,1.849e+04
184.2,1.266e+04,2.948e+03,1.191e+03,1.680e+04
185.7,1.168e+04,3.707e+03,1.162e+03,1.655e+04
187.2,1.001e+04,4.352e+03,1.147e+03,1.551e+04
188.6,9.583e+03,4.835e+03,1.243e+03,1.566e+04
190.1,7.699e+03,4.449e+03,1.272e+03,1.342e+04
191.6,6.855e+03,4.004e+03,1.285e+03,1.214e+04
193.1,7.200e+03,3.853e+03,1.284e+03,1.234e+04
194.6,6.487e+03,3.746e+03,1.453e+03,1.169e+04
196.1,6.834e+03,4.036e+03,1.623e+03,1.249e+04
197.6,6.845e+03,3.498e+03,1.666e+03,1.201e+04
199.1,5.891e+03,2.544e+03,1.589e+03,1.002e+04
